ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci FrekansÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,Bluetooth,,,,2 kg ve Altı,Yok,"13,3 inç",,,,,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,,Resmi Distribütör Garantili,,,512 GB,Yok,Q Türkçe,,Ofis - İş,,4.2,,,,Yok,,,,,8 GB,LPDDR4,Gri,512 GB,,,,2.4,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,10. Nesil,Intel Core i5,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//asus/ux325ea-kg653-oled-zenbook-core-i5-1135g7-8gb-ram-512gb-ssd-13-3-win-11-home-laptop-gri-p-232970007?boutiqueId=61&merchantId=846369,29.814 TL
,,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel HD Graphics 520,DDR,Paylaşımlı,Dahili,,,HD,,,Resmi Distribütör Garantili,,Var,,1 TB,Numerik Tuşlu,,Ev - Okul,,,,,,Yok,TN,,,,4 GB,,Mavi,Yok,,,,,,,,,,,,,,1366 x 768,HD Ready (HD),,N3350,3. Nesil,Intel Celeron,2,Linux,,https://www.trendyol.com//asus/x543na-gq289-cel-n3350-4g-1tb-15-6-endless-notebook-p-59378901?boutiqueId=61&merchantId=409439,9.499 TL
,8 GB,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,165 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,512 GB,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,4.3,,,,Yok,TN,,,,8 GB,LPDDR5,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7520U,11. Nesil,AMD Ryzen 5,4,Windows,6 Saat ve Üstü,https://www.trendyol.com//lenovo/ip-ryzen-5-8gb-ram-512-gb-ssd-15-6-w11-laptop-p-762026638?boutiqueId=61&merchantId=322524,13.566 TL
,,,Bluetooth - HDMI,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0037nt-7p643ea-6gb-rtx4050-13-nesil-i7-13700h-16-gb-ram-512-gb-ssd-16-1-inc-fhd-144hz-p-707365264?boutiqueId=61&merchantId=118442,34.719 TL
,,,,,,,Belirtilmemiş,Yok,"15,6 inç",,,,,Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,,4 GB,Belirtilmemiş,Çok Renkli,128 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,Belirtilmemiş,Belirtilmemiş,Intel Celeron,Belirtilmemiş,Windows,,https://www.trendyol.com//acer/aspire-3-a315-35-intel-celeron4500-1-10ghz-paylasimli-uhd-graphics-4gb-ram-128ssd-15-6-fhd-ek-p-685285983?boutiqueId=61&merchantId=451837,7.549 TL
,,,,,,2 kg ve AltÄ±,,Yok,"13,3 inÃ§",Dahili Ekran KartÄ±,BelirtilmemiÅŸ,PaylaÅŸÄ±mlÄ±,Dahili,,,,,BelirtilmemiÅŸ,,,2 YÄ±l,,Resmi DistribÃ¼tÃ¶r Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e,Ofis - Ä°ÅŸ,,,,,,Yok,,,,16 GB,DDR4,,,GÃ¼mÃ¼ÅŸ,512 GB,,,,,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,,,,,,,,,,https://www.trendyol.com//hp/elitebook-630-g9-6s6y3ea-i5-1235u-16gb-512gb-ssd-13-3-uwva-dos-p-361837044?boutiqueId=61&merchantId=133639,"24.599,99 TL"
,,,Bluetooth,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,DDR4,1 GB,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,,8 GB,Belirtilmemiş,Gri,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1035G1,11. Nesil,Intel Core i5,Belirtilmemiş,Windows 11,,https://www.trendyol.com//asus/x515ja-ej2124w-i5-1035g1u-8gb-ram-256gb-ssd-15-6-win11-convertible-laptop-gri-p-282831239?boutiqueId=61&merchantId=880551,14.799 TL
,,,HDMI,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,32 GB,DDR5,Siyah,1 TB,Gen 4,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,4-6 Saat,https://www.trendyol.com//hp/victus-gaming-laptop-16-s0047nt-amd-r7-7840hs-32gb-ddr5-1tb-8gb-rtx4060-16-1-144-hz-freedos-p-743602647?boutiqueId=61&merchantId=109318,40.999 TL
,,,,,,,2 kg ve Altı,Yok,14 inç,,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,,Oyun,,,,,,Yok,,,,,16 GB,DDR4,Gümüş,SSD Yok,,,,,,,,,,,,,,2880 x 1800,Full HD (FHD),,5900HX,5. Nesil,AMD Ryzen 9,8,Windows,,https://www.trendyol.com//asus/vivobook-pro-14-oled-5-nesil-ryzen-9-5900hx-16gb-1tb-14-rtx3050-4gb-w11-p-355653769?boutiqueId=61&merchantId=248849,35.999 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7735HS,7. Nesil,AMD Ryzen 7,16,Free Dos,,https://www.trendyol.com//msi/bravo-15-c7vfk-252xtr-amd-ryzen-7-7735hs-16gb-512gb-ssd-rtx4060-freedos-15-6-fhd-144hz-p-784805507?boutiqueId=61&merchantId=503378,37.999 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Pro Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,İthalatçı Garantili,,,256 GB,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,,,,,Çoklu Kopyalama Sistemleri,,,,,8 GB,LPDDR4,Siyah,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//samsung/asus-exper-tbook-b1500cepe-bq0991-intel-core-i5-1135g7-8-gb-256-gb-freedos-15-6-fhd-tasinabilir-b-p-778473011?boutiqueId=61&merchantId=433925,21.499 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,,240 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,5.0,,,,,IPS,,,,32 GB,DDR5,Siyah,1 TB,,,,,,,,,,,,,,2560 x 1440,QHD,,7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0001nt-r7-7840hs-32gb-1tb-ssd-rtx4070-8gb-freedos-16-1-240-hz-qhd-notebook-7z4l9ea-p-739863315?boutiqueId=61&merchantId=106740,49.999 TL
,,,Bluetooth,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,DDR4,4 GB,Harici,,144 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,4.5,,,,,IPS,,,,16 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,QHD,,11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//acer/nitro5-intel-core-i5-11400h-16gb-512gb-4gb-rtx3050-15-6-fhd-w11pro-gaming-pc-p-767856380?boutiqueId=61&merchantId=448871,26.000 TL
,,,,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX3060,GDDR6,6 GB,Dahili,,120 Hz,,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,,,,,,,,,,16 GB,DDR5,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,9750H,6. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//dell/g15-5525-r7-6800h-16gb-512gb-ssd-rtx3060-6gb-15-6-fhd-windows-11-laptop-dell-turkiye-garantili-p-455090103?boutiqueId=61&merchantId=339221,37.999 TL
,,,USB,,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,,240 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Gri,1 TB,,,,3,,,,,,,,,,2560 x 1440,WQHD,,7845HX,7. Nesil,AMD Ryzen 9,12,Free Dos,,https://www.trendyol.com//asus/rog-strix-g17-g713pi-ll082-r9-7845hx-16-gb-1-tb-rtx4070-240hz-dos-17-3-wqhd-notebook-p-745779218?boutiqueId=61&merchantId=106740,65.999 TL
,,,HDMI - USB,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,DDR3,Paylaşımlı,Harici,,Belirtilmemiş,,,2 Yıl,Lenovo Türkiye Garantili,,,256 GB,,Q Türkçe + Numerik (Aydınlatmasız),,Ofis - İş,,,,,,,,,,,8 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,,1920 x 1080,HD Ready (HD),,Belirtilmemiş,Belirtilmemiş,Intel Core i3,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-3-15itl6-intel-core-i3-1115g4-8-gb-256-gb-ssd-15-6-fhd-fdos-82h803nttx-p-782022798?boutiqueId=61&merchantId=110963,10.235 TL
,,,USB,,,,2 kg ve Altı,Yok,"16,1 inç",,,,,Nvidia GeForce MX450,GDDR6,2 GB,Harici,,60 Hz,,,3 Yıl,Lenovo Türkiye Garantili,,,500 GB,,Q Türkçe + Numerik (Aydınlatmalı),,Ev - Okul,,,,,,,,,,,8 GB,LPDDR4X,Gri,4 TB,,,,,,,,,,,,,,4480 x 2520,WQHD,,9850H,1. Nesil,MediaTek P60T,14,Windows,,https://www.trendyol.com//lenovo/ideapad-slim-3-15amn8-82xq000ytx-ryzen-3-7320u-8-gb-256-gb-ssd-radeon-610m-15-6-full-hd-note-p-770370098?boutiqueId=61&merchantId=557390,10.249 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//asus/x515ea-ej3575a1-i3-1115g4-8gb-256ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-765761148?boutiqueId=61&merchantId=106664,9.849 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,4 GB,DDR4,Beyaz,128 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,N305,3. Nesil,Intel Core i3,8,Windows,,https://www.trendyol.com//acer/a315-510-i3-n305-4gb-128gb-ssd-15-6-fhd-windows-11-home-tasinabilir-bilgisayar-nx-kdhey-002-p-758353789?boutiqueId=626264&merchantId=125175,8.499 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//izoly/twitch-i5-10400f-16gb-512gb-m-2-nvme-rx550-4gb-24-24-100hz-oyuncu-masaustu-bilgisayari-p-664199127?boutiqueId=61&merchantId=123676,"18.081,53 TL"
,,,HDMI,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,32 GB,DDR5,Gri,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,Belirtilmemiş,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0049nt-ryzen-7-7840hs-32gb-1tb-ssd-6gb-rtx-4050-144hz-7ms-16-1-freedos-laptop-892p7ea-p-738427812?boutiqueId=61&merchantId=216294,34.669 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,4.4,,,,,IPS,,,,32 GB,DDR4,Siyah,1 TB,Gen 4,,,2,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-4-5-intel-core-i5-12450h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-windows-11-15-6-fhd-144-hz-p-760784218?boutiqueId=61&merchantId=105286,33.199 TL
,,,,,,,2 kg ve Altı,Yok,14 inç,,,,,Intel UHD Graphics 600,DDR4,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,4 GB,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,,4 GB,DDR4,Gümüş,128 GB,,,,Belirtilmemiş,,,,,,,,,,1366 x 768,HD Ready (HD),,N4020,Belirtilmemiş,Intel Celeron,2,Free Dos,,https://www.trendyol.com//lenovo/ideapad-intel-celeron-n4020-4gb-128gb-ssd-14-hd-dos-dizustu-bilgisayar-81vu006stx-p-367015572?boutiqueId=61&merchantId=244201,11.999 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 3080,GDDR6,8 GB,Dahili,,360 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,,Oyun,,,,,,Yok,IPS,,,,32 GB,DDR4,Siyah,1 TB,,,,3.2,,,,,,,,,,1920 x 1080,Full HD (FHD),,5800H,5. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//acer/nitro-5-an517-41-amd-ryzen-7-5800h-32gb-1tb-sssd-rtx3080-360hz-17-3-fhd-freedos-nh-qbhey-001-p-142171886?boutiqueId=61&merchantId=298152,57.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//acer/aspire-3-a315-24p-ryzen-5-7520u-8gb-256-gb-win-11-15-6-nx-kdeey-003-notebook-p-705381411?boutiqueId=61&merchantId=106664,11.349 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,16 inç,,,,,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,,165 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,5.0,,,,,IPS,,,,32 GB,DDR4,Siyah,1 TB,Gen 4,,,2.4,,,,,,,,,,2560 x 1600,QHD,,13700H,13. Nesil,Intel Core i7,14,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/tulpar-t6-v1-1-5-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4070-windows-11-16-qhd-165-hz-p-742790570?boutiqueId=61&merchantId=105286,65.499 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//huawei/matebook-14-amd-ryzen-5-4600h-8gb-ram-512gb-ssd-14-w10-notebook-p-160135603?boutiqueId=61&merchantId=310022,38.000 TL
,,,Bluetooth,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,DDR4,4 GB,Harici,,144 Hz,,,2 Yıl,ACER Türkiye Garantili,,,1 TB,,Q Türkçe (Aydınlatmalı),,Oyun,,4.5,,,,,IPS,,,,24 GB,DDR4,Siyah,1 TB,,,,,,,,,,,,,,1920 x 1080,QHD,,11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//acer/nitro5-intel-core-i5-11400h-24gb-1tb-4gb-rtx3050-15-6-fhd-w11pro-gaming-pc-p-767864206?boutiqueId=61&merchantId=448871,27.260 TL
,,,HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,,,,,,4 GB,DDR4,Gri,256 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1115G4,11. Nesil,Intel Core i3,4,Free Dos,,https://www.trendyol.com//asus/x515ea-bq868-15-6-fhd-i3-1115g4-4-gb-ram-256-gb-ssd-freedos-p-735393903?boutiqueId=626264&merchantId=110963,9.080 TL
,16 GB,,HDMI,,Tek Ebat,,4 kg ve Üstü,,"24"" / 61 Ekran",,,,,Nvidia GeForce GT 730,DDR3,4 GB,Harici,,75 Hz,,,2 Yıl,Zeiron Türkiye Garantili,,Var,,Yok,RGB,,Oyun,,,,Evde Eğitim,,Yok,TN,350 - 500 W,,,16 GB,DDR3,,512 GB,,,,3.2,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/gt67-i5-3470-16gb-512gb-ssd-nvidia-gt730-4gb-23-8-oyuncu-masaustu-bilgisayar-p-647229451?boutiqueId=626264&merchantId=127037,9.499 TL
,16 GB,,HDMI - USB,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,,120 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,3.3,,,,,VA,,,,16 GB,DDR4,Gri,512 GB,Gen 3,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-82s9016ntx-i5-12450h-16gb-512gb-ssd-6gb-rtx3060-freedos-15-6-fhd-notebook-p-764985395?boutiqueId=61&merchantId=531617,29.999 TL
,,,,,,,2 kg ve Altı,Yok,"13,3 inç",,,,,Intel Iris Graphics,GDDR5,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,,16 GB,LPDDR4X,Gri,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,1165G7,11. Nesil,Intel Core i7,8,Free Dos,,https://www.trendyol.com//asus/zenbook-oled-ux325ea-kg771-intel-core-i7-1165g7-16gb-1tb-ssd-iris-xe-13-3-fhd-fredoos-p-379192545?boutiqueId=61&merchantId=121368,49.999 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,4.7,,,,,IPS,,,,64 GB,DDR4,Gri,2 TB,Gen 4,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//casper/excalibur-g870-1265-exb0r-b-intel-core-i7-12650h-64gb-ram-2tb-nvme-ssd-8gb-rtx4060-windows-11-pro-p-737917516?boutiqueId=61&merchantId=114258,45.999 TL
,,,Bluetooth - HDMI,,,,2 - 4 kg,Var,16 inç,,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Tasarım,,5.0,,,,,IPS,,,,16 GB,LPDDR5,Gri,1 TB,,,,3.7,,,,,,,,,,1920 x 1200,Full HD (FHD),,1355U,13. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//lenovo/yoga-7-intel-core-i7-1355u-16gb-1tb-ssd-win11-home-16-dokunmatik-ikisi-bir-arada-bilgisayar-p-741193918?boutiqueId=61&merchantId=808901,52.799 TL
,,,HDMI,,,,2 kg ve Altı,Yok,16 inç,,,,,Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,,120 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ev - Okul,,4.4,,,,Yok,IPS,,,,16 GB,DDR4,Siyah,512 GB,,,,3.3,,,,,,,,,,1920 x 1200,WUXGA,,12450H,12. Nesil,Intel Core i5,8,Free Dos,3 Saat ve Altı,https://www.trendyol.com//asus/vivobook-16x-k3605zf-n115901-i5-12450h-16gb-512gb-ssd-4gb-rtx2050-16-wuxga-120hz-freedos-p-761337456?boutiqueId=61&merchantId=105378,26.009 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,4.7,,,,,IPS,,,,16 GB,DDR4,Gri,500 GB,Gen 3,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1265-bvb0x-b-intel-core-i7-12650h-16gb-ram-500gb-nvme-ssd-8gb-rtx4060-freedos-p-672183963?boutiqueId=61&merchantId=114258,35.599 TL
,16 GB,,HDMI,,,,4 kg ve Üstü,,"24"" / 61 Ekran",,,,,Nvidia Geforce GT 740,DDR3,4 GB,Harici,,75 Hz,,,2 Yıl,İzoly Türkiye Garantisi,,Var,HDD Yok,Yok,Q Türkçe,,Oyun,,,,,,Yok,IPS,350 - 500 W,,,16 GB,DDR4,Siyah,256 GB,,,,3.4,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,860,1. Nesil,Intel Core i7,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//izoly/k303-intel-core-i7-860-16gb-256gb-gt-740-24-oyuncu-masaustu-bilgisayari-p-130326764?boutiqueId=61&merchantId=123676,"9.823,61 TL"
,,,USB-C,,,,2 kg ve Altı,Yok,16 inç,,,,,M3,Dahili,Paylaşımlı,Dahili,,120 Hz,,,2 Yıl,Apple Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ofis - İş,,,,,,,,,,,36 GB,Birleşik Bellek,Gümüş,1 TB,,,,,,,,,,,,,,3024 x 1964,Retina,,M3,3. Nesil,M3,14,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-pro-m3-max-16-gumus-30c-gpu-36gb-1tb-ssd-mrw73tu-a-p-777662367?boutiqueId=61&merchantId=106740,128.999 TL
,,,USB-C,,,,2 kg ve Altı,Yok,14 inç,,,,,M3,Dahili,Paylaşımlı,Dahili,,120 Hz,,,2 Yıl,Apple Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Ofis - İş,,,,,,,,,,,8 GB,Birleşik Bellek,Gri,512 GB,,,,,,,,,,,,,,3024 x 1964,Retina,,M3,3. Nesil,M3,8,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-pro-m3-14-uzay-gri-8gb-512gb-ssd-mtl73tu-a-p-777662344?boutiqueId=61&merchantId=190694,59.899 TL
,,,USB - Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Ev - Okul,,4.5,,,,,IPS,,,,16 GB,DDR4,Gri,512 GB,,,,2.5,,,,,,,,,,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Free Dos,4-6 Saat,https://www.trendyol.com//lenovo/ideapad-3-15itl6-intel-core-i5-1155g7-16gb-512gb-ssd-freedos-15-6-fhd-82h803p0txa38-p-760571921?boutiqueId=61&merchantId=868180,16.499 TL
